date,fires
1998-06-01,4529.832067587846
1998-07-01,27497.832067587842
1998-08-01,6438.832067587846
1998-09-01,-18463.167932412158
1998-10-01,-16681.167932412154
1998-11-01,-2342.167932412158
1998-12-01,-3353.167932412154
1999-01-01,216.8320675878458
1999-02-01,-603.1679324121578
1999-03-01,63.83206758784581
1999-04-01,1107.8320675878422
1999-05-01,1834.8320675878458
1999-06-01,5139.832067587842
1999-07-01,30747.832067587846
1999-08-01,-2564.167932412154
1999-09-01,-9883.167932412158
1999-10-01,-18140.167932412154
1999-11-01,-4473.167932412158
1999-12-01,-3584.167932412154
2000-01-01,-202.16793241215782
2000-02-01,299.8320675878458
2000-03-01,-296.1679324121542
2000-04-01,1572.8320675878422
2000-05-01,4190.832067587846
2000-06-01,-1520.1679324121578
2000-07-01,17477.832067587846
2000-08-01,1102.8320675878422
2000-09-01,4052.832067587846
2000-10-01,-18919.167932412154
2000-11-01,-3920.167932412158
2000-12-01,-3904.167932412154
2001-01-01,526.8320675878422
2001-02-01,220.8320675878458
2001-03-01,-172.1679324121542
2001-04-01,1022.8320675878422
2001-05-01,6328.832067587846
2001-06-01,-1903.1679324121578
2001-07-01,25363.832067587846
2001-08-01,8004.832067587842
2001-09-01,-8776.167932412154
2001-10-01,-15385.167932412154
2001-11-01,-9426.167932412158
2001-12-01,-4533.167932412154
2002-01-01,-70.16793241215782
2002-02-01,122.83206758784581
2002-03-01,18.832067587842175
2002-04-01,2146.832067587846
2002-05-01,7042.832067587846
2002-06-01,7248.832067587842
2002-07-01,54345.83206758785
2002-08-01,21018.832067587842
2002-09-01,-34146.16793241215
2002-10-01,-19330.16793241216
2002-11-01,-22808.167932412154
2002-12-01,-10380.167932412154
2003-01-01,-3584.167932412158
2003-02-01,463.8320675878458
2003-03-01,107.83206758784218
2003-04-01,2818.832067587846
2003-05-01,10317.832067587842
2003-06-01,13652.832067587846
2003-07-01,26626.832067587842
2003-08-01,40767.83206758785
2003-09-01,-40249.16793241216
2003-10-01,-22060.167932412158
2003-11-01,-12427.167932412154
2003-12-01,-19083.167932412158
2004-01-01,-1937.1679324121542
2004-02-01,1009.8320675878458
2004-03-01,41.832067587842175
2004-04-01,3666.832067587846
2004-05-01,11428.832067587842
2004-06-01,12345.832067587846
2004-07-01,33724.83206758785
2004-08-01,57341.83206758785
2004-09-01,-67089.16793241217
2004-10-01,-8914.167932412154
2004-11-01,-16711.167932412154
2004-12-01,-21568.167932412158
2005-01-01,-4145.167932412154
2005-02-01,-356.1679324121578
2005-03-01,228.8320675878458
2005-04-01,2345.832067587846
2005-05-01,2792.832067587842
2005-06-01,22397.832067587846
2005-07-01,60504.83206758785
2005-08-01,11739.832067587835
2005-09-01,-37418.16793241215
2005-10-01,-33378.16793241216
2005-11-01,-17285.167932412154
2005-12-01,-9787.167932412158
2006-01-01,-2130.167932412154
2006-02-01,52.832067587842175
2006-03-01,-143.1679324121542
2006-04-01,2057.832067587846
2006-05-01,3301.832067587842
2006-06-01,10200.832067587846
2006-07-01,36855.832067587835
2006-08-01,21858.83206758785
2006-09-01,-44418.16793241216
2006-10-01,-2727.167932412154
2006-11-01,-13874.167932412154
2006-12-01,-11180.167932412158
2007-01-01,-1445.1679324121542
2007-02-01,592.8320675878422
2007-03-01,-776.1679324121542
2007-04-01,2586.832067587842
2007-05-01,7606.832067587846
2007-06-01,7228.832067587846
2007-07-01,71167.83206758785
2007-08-01,50148.83206758785
2007-09-01,-73978.16793241217
2007-10-01,-35793.16793241215
2007-11-01,-19087.167932412158
2007-12-01,-9529.167932412154
2008-01-01,-1012.1679324121542
2008-02-01,149.83206758784218
2008-03-01,32.83206758784581
2008-04-01,1058.8320675878422
2008-05-01,1656.8320675878458
2008-06-01,9448.832067587842
2008-07-01,20415.832067587846
2008-08-01,16253.832067587846
2008-09-01,1126.8320675878422
2008-10-01,-21046.167932412154
2008-11-01,-16282.167932412158
2008-12-01,-10540.167932412154
2009-01-01,-2464.167932412158
2009-02-01,619.8320675878458
2009-03-01,301.8320675878458
2009-04-01,861.8320675878422
2009-05-01,670.8320675878458
2009-06-01,4042.832067587842
2009-07-01,13971.832067587846
2009-08-01,14347.832067587842
2009-09-01,-4887.167932412154
2009-10-01,-1805.1679324121542
2009-11-01,-17108.167932412158
2009-12-01,-8577.167932412154
2010-01-01,-761.1679324121578
2010-02-01,-31.167932412154187
2010-03-01,-168.16793241215782
2010-04-01,1528.8320675878458
2010-05-01,5711.832067587846
2010-06-01,11149.832067587842
2010-07-01,69427.83206758785
2010-08-01,18599.83206758785
2010-09-01,-70175.16793241215
2010-10-01,-14775.167932412158
2010-11-01,-14277.167932412154
2010-12-01,-7859.167932412154
2011-01-01,-747.1679324121578
2011-02-01,151.8320675878458
2011-03-01,365.8320675878422
2011-04-01,1021.8320675878458
2011-05-01,3015.832067587846
2011-06-01,4154.832067587842
2011-07-01,14126.832067587846
2011-08-01,31163.832067587842
2011-09-01,-31677.167932412154
2011-10-01,-4785.167932412158
2011-11-01,-5138.167932412154
2011-12-01,-10397.167932412154
2012-01-01,-1236.1679324121578
2012-02-01,794.8320675878458
2012-03-01,11.832067587842175
2012-04-01,1493.8320675878458
2012-05-01,2856.832067587842
2012-06-01,8051.832067587846
2012-07-01,36071.83206758785
2012-08-01,12495.832067587839
2012-09-01,-23534.16793241215
2012-10-01,-21732.167932412158
2012-11-01,-8581.167932412154
2012-12-01,-6961.167932412158
2013-01-01,-815.1679324121542
2013-02-01,581.8320675878458
2013-03-01,-378.1679324121578
2013-04-01,966.8320675878458
