"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2013","17.60","17.66","17.97","17.25","1.28M","-0.56%"
"03/01/2013","17.70","18.42","19.00","17.60","533.32K","-3.75%"
"02/01/2013","18.39","18.90","19.02","17.67","1.07M","-2.39%"
"01/01/2013","18.84","19.70","19.80","18.19","530.17K","-3.88%"
"12/01/2012","19.60","19.48","19.91","18.48","235.81K","1.14%"
"11/01/2012","19.38","19.48","19.96","18.79","314.86K","-0.10%"
"10/01/2012","19.40","20.43","21.69","19.13","314.13K","-5.00%"
"09/01/2012","20.42","20.50","21.00","19.48","982.42K","-0.44%"
"08/01/2012","20.51","22.87","23.08","20.16","529.85K","-10.44%"
"07/01/2012","22.90","21.54","24.10","21.49","557.16K","9.00%"
"06/01/2012","21.01","19.78","21.39","19.24","1.28M","6.22%"
"05/01/2012","19.78","21.50","21.58","19.73","472.99K","-6.34%"
"04/01/2012","21.12","23.80","23.98","20.89","1.11M","-11.34%"
"03/01/2012","23.82","24.29","25.00","22.45","658.92K","-4.76%"
"02/01/2012","25.01","23.09","25.81","22.85","907.98K","8.32%"
"01/01/2012","23.09","23.13","24.50","22.43","431.77K","-0.90%"
"12/01/2011","23.30","23.69","24.25","22.62","634.50K","-1.65%"
"11/01/2011","23.69","25.73","26.18","22.71","735.16K","-8.07%"
"10/01/2011","25.77","25.29","28.35","24.31","753.74K","-2.16%"
"09/01/2011","26.34","29.74","30.21","24.80","913.60K","-11.25%"
"08/01/2011","29.68","30.15","31.85","26.38","1.04M","-0.44%"
"07/01/2011","29.81","26.25","31.68","25.68","946.30K","5.11%"
"06/01/2011","28.36","23.18","30.88","22.35","1.09M","22.35%"
"05/01/2011","23.18","22.19","23.37","20.40","887.61K","-0.86%"
"04/01/2011","23.38","27.11","28.13","22.81","800.82K","-13.76%"
"03/01/2011","27.11","29.45","31.05","25.47","908.09K","-16.61%"
"02/01/2011","32.51","33.90","36.08","29.60","1.25M","-4.30%"
"01/01/2011","33.97","32.27","34.54","29.58","1.01M","5.76%"
"12/01/2010","32.12","27.78","34.77","27.70","821.37K","16.59%"
"11/01/2010","27.55","29.30","33.39","25.30","1.33M","-5.39%"
"10/01/2010","29.12","23.73","29.80","22.49","1.05M","15.10%"
"09/01/2010","25.30","19.83","27.17","19.77","1.13M","28.10%"
"08/01/2010","19.75","19.60","20.37","17.51","1.05M","0.92%"
"07/01/2010","19.57","15.95","19.67","15.64","965.93K","8.54%"
"06/01/2010","18.03","14.19","18.40","13.82","1.08M","27.06%"
"05/01/2010","14.19","15.15","15.75","13.00","911.45K","-5.71%"
"04/01/2010","15.05","16.60","17.79","14.55","936.01K","-9.28%"
"03/01/2010","16.59","23.60","24.00","16.17","1.37M","-31.25%"
"02/01/2010","24.13","29.90","30.40","23.67","1.12M","-19.30%"
"01/01/2010","29.90","27.00","30.33","26.70","1.05M","10.95%"
"12/01/2009","26.95","22.39","27.49","20.00","119.84K","22.11%"
"11/01/2009","22.07","22.97","23.50","21.38","0.18K","-0.41%"
"10/01/2009","22.16","23.90","24.00","20.55","0.46K","-8.13%"
"09/01/2009","24.12","24.44","24.85","20.50","1.22M","-1.11%"
"08/01/2009","24.39","18.71","24.48","18.71","1.29M","31.06%"
"07/01/2009","18.61","17.90","18.91","16.75","900.22K","10.71%"
"06/01/2009","16.81","15.69","17.25","14.70","1.19M","7.89%"
"05/01/2009","15.58","14.36","16.05","14.27","1.12M","10.89%"
"04/01/2009","14.05","12.69","14.09","12.13","1.05M","10.89%"
"03/01/2009","12.67","13.70","13.77","12.42","997.71K","-5.94%"
"02/01/2009","13.47","12.62","13.72","12.39","874.74K","6.31%"
"01/01/2009","12.67","11.80","13.05","11.32","915.61K","7.28%"
"12/01/2008","11.81","11.87","12.07","10.51","738.31K","-0.76%"
"11/01/2008","11.90","12.12","13.00","11.23","719.52K","-1.00%"
"10/01/2008","12.02","13.66","14.07","10.44","1.03M","-2.75%"
"09/01/2008","12.36","12.70","13.39","11.55","997.04K","-3.13%"
"08/01/2008","12.76","13.86","14.69","12.70","989.44K","-8.40%"
"07/01/2008","13.93","13.10","14.35","11.73","1.08M","15.70%"
"06/01/2008","12.04","10.02","12.18","9.44","1.14M","20.16%"
"05/01/2008","10.02","11.92","12.13","9.82","988.14K","-5.92%"
"04/01/2008","10.65","11.69","12.94","10.10","862.22K","-8.90%"
"03/01/2008","11.69","14.65","15.07","11.25","1.17M","-18.08%"
"02/01/2008","14.27","12.40","14.51","11.74","870.80K","15.45%"
"01/01/2008","12.36","10.89","13.09","10.62","1.72M","14.23%"
"12/01/2007","10.82","9.73","11.19","9.66","781.26K","10.97%"
"11/01/2007","9.75","10.00","10.21","9.63","763.69K","-2.30%"
"10/01/2007","9.98","10.14","10.50","9.59","991.84K","4.39%"
"09/01/2007","9.56","9.46","9.97","8.90","857.32K","0.84%"
"08/01/2007","9.48","10.33","10.56","9.08","812.26K","-8.23%"
"07/01/2007","10.33","9.57","10.53","9.17","991.88K","13.89%"
"06/01/2007","9.07","9.42","9.47","8.36","1.04M","-2.89%"
"05/01/2007","9.34","9.10","9.57","8.62","1.03M","1.08%"
"04/01/2007","9.24","9.82","10.06","9.20","840.21K","-6.48%"
"03/01/2007","9.88","10.58","11.49","9.79","949.64K","-12.64%"
"02/01/2007","11.31","10.60","11.49","9.99","924.78K","6.70%"
"01/01/2007","10.60","11.60","11.66","10.35","745.50K","-9.79%"
"12/01/2006","11.75","12.42","12.45","11.15","620.75K","-5.01%"
"11/01/2006","12.37","11.43","12.57","11.24","593.25K","7.10%"
"10/01/2006","11.55","11.60","12.65","10.66","677.09K","6.45%"
"09/01/2006","10.85","11.75","12.50","9.70","773.79K","-8.05%"
"08/01/2006","11.80","14.95","15.00","11.41","668.58K","-20.86%"
"07/01/2006","14.91","16.41","17.25","14.72","507.20K","-5.57%"
"06/01/2006","15.79","15.15","16.20","14.57","658.06K","2.13%"
"05/01/2006","15.46","17.60","18.00","15.42","659.34K","-9.75%"
"04/01/2006","17.13","18.15","18.39","16.20","563.53K","-4.30%"
"03/01/2006","17.90","17.00","18.48","16.19","582.00K","6.93%"
"02/01/2006","16.74","17.82","19.73","15.70","647.89K","-7.10%"
"01/01/2006","18.02","14.60","18.82","14.00","715.91K","22.75%"
"12/01/2005","14.68","12.50","14.89","12.50","590.32K","18.10%"
"11/01/2005","12.43","11.34","12.54","11.13","541.42K","9.71%"
"10/01/2005","11.33","11.19","11.91","11.12","601.39K","3.47%"
"09/01/2005","10.95","10.01","11.20","10.01","721.52K","8.74%"
"08/01/2005","10.07","9.79","10.35","9.50","700.16K","2.44%"
"07/01/2005","9.83","9.27","9.99","9.10","542.90K","5.25%"
"06/01/2005","9.34","8.67","9.42","8.59","615.71K","6.62%"
"05/01/2005","8.76","8.65","8.81","8.21","401.36K","1.74%"
