,Unnamed: 0,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,State
0,1998,-,-,-,-,-,2,72,320,263,82,6,196,941,amazonas
1,1999,3,43,7,2,-,7,11,255,214,476,28,2,1048,amazonas
2,2000,7,62,69,18,51,6,39,180,193,145,27,60,857,amazonas
3,2001,3,8,6,1,-,5,9,499,168,332,244,22,1297,amazonas
4,2002,17,2,5,2,8,5,338,1790,2916,1824,1221,267,8395,amazonas
5,2003,379,129,94,42,24,36,655,3017,2594,1851,780,590,10191,amazonas
6,2004,277,129,20,26,11,43,364,1850,2436,1564,988,375,8083,amazonas
7,2005,225,16,15,8,36,130,1894,5981,4931,1499,833,76,15644,amazonas
8,2006,79,31,30,28,20,156,574,3399,4254,2181,588,357,11697,amazonas
9,2007,106,167,14,18,16,180,607,3990,3521,1663,833,178,11293,amazonas
10,2008,45,48,25,35,12,42,457,2538,1716,1156,533,94,6701,amazonas
11,2009,34,9,19,11,4,31,246,1799,3595,2409,983,140,9280,amazonas
12,2010,93,76,64,9,37,113,788,5261,4021,1137,400,140,12139,amazonas
13,2011,59,6,23,7,16,32,330,1543,1524,844,502,142,5028,amazonas
14,2012,8,8,5,8,15,58,316,3616,2731,1484,749,116,9114,amazonas
15,2013,43,4,23,26,21,81,359,1981,2204,1235,258,277,6512,amazonas
16,2014,71,17,30,20,17,73,253,3604,3148,793,692,289,9007,amazonas
17,2015,38,71,25,20,11,34,365,4235,5004,2233,909,474,13419,amazonas
18,2016,654,252,105,13,26,84,1087,3652,2785,1913,497,105,11173,amazonas
19,2017,62,21,24,15,33,95,1534,4793,3185,1190,486,247,11685,amazonas
20,2018,46,93,54,14,19,123,1346,2589,4928,1725,472,37,11446,amazonas
21,2019,35,90,114,10,21,57,1371,6668,3026,548,573,163,12676,amazonas
22,2020,197,73,77,12,15,122,2119,8030,4270,1265,374,175,16729,amazonas
23,2021,37,33,17,18,45,74,1173,8588,2799,1773,248,43,14848,amazonas
24,2022,157,18,15,15,81,82,1428,8116,8659,1503,848,-,20922,amazonas
0,1998,-,-,-,-,-,55,219,813,2719,1970,49,82,5907,bahia
1,1999,114,157,83,55,76,62,107,453,1273,1308,49,37,3774,bahia
2,2000,31,32,65,23,71,176,199,629,2284,3350,114,24,6998,bahia
3,2001,25,101,4,26,84,98,245,978,3957,1687,699,158,8062,bahia
4,2002,124,204,146,108,164,116,611,1812,7167,5415,1169,1012,18048,bahia
5,2003,560,306,401,512,226,362,557,1078,9547,4515,655,865,19584,bahia
6,2004,201,193,179,200,251,306,355,1512,7395,5701,2016,674,18983,bahia
7,2005,414,227,234,180,168,240,424,1141,4244,9031,1801,343,18447,bahia
8,2006,315,433,291,117,172,220,482,1318,3171,2395,810,494,10218,bahia
9,2007,451,136,249,240,417,619,1375,4270,10076,7548,3308,779,29468,bahia
10,2008,376,281,201,229,217,207,554,1032,4961,7949,4599,175,20781,bahia
11,2009,227,175,329,56,48,117,340,450,3580,2742,525,367,8956,bahia
12,2010,368,272,192,136,254,430,663,2635,5780,5375,694,264,17063,bahia
13,2011,135,177,158,204,225,376,578,1524,6967,2306,197,289,13136,bahia
