"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2017","119.90","125.67","127.88","116.78","494.36K","-0.50%"
"10/01/2017","120.50","109.10","121.00","107.40","108.93K","10.45%"
"09/01/2017","109.10","105.53","111.83","104.30","465.35K","4.37%"
"08/01/2017","104.53","112.30","115.62","104.05","91.06K","-6.67%"
"07/01/2017","112.00","116.30","118.67","111.78","545.78K","-5.96%"
"06/01/2017","119.10","124.75","134.22","118.00","90.77K","-4.28%"
"05/01/2017","124.42","124.62","134.55","120.58","758.58K","-9.84%"
"04/01/2017","138.00","119.95","138.90","117.50","92.96K","15.05%"
"03/01/2017","119.95","118.15","123.20","114.90","521.90K","-5.25%"
"02/01/2017","126.60","115.40","127.12","114.65","87.12K","9.52%"
"01/01/2017","115.60","116.50","121.45","113.97","455.68K","-2.86%"
"12/01/2016","119.00","111.90","123.70","107.28","77.24K","7.45%"
"11/01/2016","110.75","103.47","111.20","100.28","434.50K","7.42%"
"10/01/2016","103.10","98.53","104.97","94.30","79.47K","4.25%"
"09/01/2016","98.90","106.40","109.22","98.90","495.69K","-11.66%"
"08/01/2016","111.95","113.90","117.75","109.80","79.99K","-1.00%"
"07/01/2016","113.08","114.85","115.35","107.10","410.39K","-5.77%"
"06/01/2016","120.00","121.05","123.75","113.72","72.74K","-0.91%"
"05/01/2016","121.10","114.92","124.67","114.90","493.49K","-1.62%"
"04/01/2016","123.10","133.15","135.22","122.00","86.29K","-7.39%"
"03/01/2016","132.93","136.65","141.90","131.03","421.12K","-4.71%"
"02/01/2016","139.50","135.80","139.95","129.38","86.81K","3.10%"
"01/01/2016","135.30","135.57","137.70","126.30","387.89K","-0.37%"
"12/01/2015","135.80","129.45","135.80","116.97","114.84K","4.42%"
"11/01/2015","130.05","141.12","142.10","125.50","462.08K","-6.61%"
"10/01/2015","139.25","124.00","141.40","120.03","97.34K","11.69%"
"09/01/2015","124.67","142.82","144.43","124.67","449.67K","-14.32%"
"08/01/2015","145.50","147.45","150.85","141.97","81.45K","-0.14%"
"07/01/2015","145.70","148.40","151.97","142.25","448.84K","-1.45%"
"06/01/2015","147.85","152.57","156.47","147.85","122.27K","-2.93%"
"05/01/2015","152.32","149.50","154.97","148.40","468.09K","-4.50%"
"04/01/2015","159.50","161.40","164.25","155.03","90.47K","-1.13%"
"03/01/2015","161.32","152.18","162.97","150.15","440.05K","2.10%"
"02/01/2015","158.00","154.45","163.10","152.03","107.69K","2.03%"
"01/01/2015","154.85","165.47","166.97","148.38","491.79K","-6.55%"
"12/01/2014","165.70","168.90","170.10","155.95","110.86K","-1.88%"
"11/01/2014","168.88","165.75","171.65","164.90","383.46K","-0.37%"
"10/01/2014","169.50","160.22","171.97","159.93","112.26K","5.64%"
"09/01/2014","160.45","151.85","161.75","151.75","467.90K","2.92%"
"08/01/2014","155.90","157.53","159.25","146.80","78.13K","-1.29%"
"07/01/2014","157.93","150.38","160.25","146.57","556.66K","3.22%"
"06/01/2014","153.00","137.78","154.22","137.40","138.60K","11.03%"
"05/01/2014","137.80","137.15","139.95","135.40","469.32K","-5.50%"
"04/01/2014","145.82","145.75","148.50","142.32","102.75K","-0.02%"
"03/01/2014","145.85","145.18","147.00","142.62","455.83K","-4.01%"
"02/01/2014","151.95","141.72","153.00","138.90","94.58K","7.25%"
"01/01/2014","141.68","134.93","144.57","134.85","459.76K","5.34%"
"12/01/2013","134.50","133.50","135.15","130.90","99.61K","0.77%"
"11/01/2013","133.47","132.97","133.70","130.65","363.89K","-0.77%"
"10/01/2013","134.50","127.47","134.90","126.97","94.54K","5.20%"
"09/01/2013","127.85","126.80","128.40","124.30","355.84K","4.20%"
"08/01/2013","122.70","121.47","124.95","120.38","80.83K","1.03%"
"07/01/2013","121.45","122.20","122.95","120.80","376.12K","2.79%"
"06/01/2013","118.15","121.28","121.88","118.15","93.03K","-2.60%"
"05/01/2013","121.30","122.05","124.03","118.70","480.26K","-5.53%"
"04/01/2013","128.40","128.88","129.07","124.50","135.91K","-0.39%"
"03/01/2013","128.90","130.28","130.82","124.65","485.04K","0.70%"
"02/01/2013","128.00","127.90","129.45","124.12","92.26K","0.30%"
"01/01/2013","127.62","132.95","134.32","124.80","517.24K","-1.76%"
"12/01/2012","129.90","126.62","130.05","125.17","152.66K","2.51%"
"11/01/2012","126.72","125.65","129.18","124.55","408.72K","-0.02%"
"10/01/2012","126.75","122.05","126.75","121.70","108.94K","3.83%"
"09/01/2012","122.08","126.00","128.78","121.53","424.90K","3.39%"
"08/01/2012","118.08","119.08","122.75","116.65","142.48K","-0.67%"
"07/01/2012","118.88","120.05","120.50","115.42","440.22K","2.00%"
"06/01/2012","116.55","117.80","120.12","115.08","96.08K","-0.47%"
"05/01/2012","117.10","114.25","120.40","112.22","519.33K","-1.39%"
"04/01/2012","118.75","120.70","122.05","116.80","113.72K","-1.41%"
"03/01/2012","120.45","129.80","131.25","120.10","553.61K","-5.64%"
"02/01/2012","127.65","125.00","129.78","123.00","146.84K","2.24%"
