"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2016","145.90","145.00","146.15","134.90","274.70K","-0.21%"
"07/01/2016","146.20","143.45","153.05","139.05","128.80K","1.46%"
"06/01/2016","144.10","121.50","146.05","120.85","368.60K","18.55%"
"05/01/2016","121.55","122.10","132.60","118.70","151.09K","0.58%"
"04/01/2016","120.85","127.35","130.00","119.05","269.77K","-5.18%"
"03/01/2016","127.45","114.30","136.40","111.35","148.28K","13.14%"
"02/01/2016","112.65","115.80","124.00","112.25","291.67K","-3.18%"
"01/01/2016","116.35","126.15","126.30","111.05","351.62K","-8.17%"
"12/01/2015","126.70","116.30","126.80","115.75","69.00K","8.38%"
"11/01/2015","116.90","121.00","123.95","111.60","263.30K","-3.35%"
"10/01/2015","120.95","121.30","137.60","116.30","383.32K","-0.33%"
"09/01/2015","121.35","119.55","123.35","113.20","123.14K","0.66%"
"08/01/2015","120.55","125.10","139.00","117.10","319.41K","-3.75%"
"07/01/2015","125.25","130.15","130.30","119.85","134.79K","-4.13%"
"06/01/2015","130.65","128.20","138.85","124.80","284.23K","3.57%"
"05/01/2015","126.15","137.00","143.85","123.55","155.49K","-7.62%"
"04/01/2015","136.55","133.40","147.35","131.95","238.00K","2.75%"
"03/01/2015","132.90","138.55","145.40","129.05","105.86K","-2.82%"
"02/01/2015","136.75","162.40","169.75","136.45","249.56K","-15.53%"
"01/01/2015","161.90","165.05","184.90","158.70","349.52K","-2.82%"
"12/01/2014","166.60","187.55","188.25","164.00","54.44K","-10.74%"
"11/01/2014","186.65","188.95","199.75","181.10","199.97K","-0.72%"
"10/01/2014","188.00","194.00","225.50","185.65","335.91K","-2.77%"
"09/01/2014","193.35","200.10","204.70","176.20","100.45K","-1.23%"
"08/01/2014","195.75","194.85","207.40","178.65","226.36K","0.36%"
"07/01/2014","195.05","172.25","196.40","157.80","106.35K","12.75%"
"06/01/2014","173.00","177.25","182.50","163.10","213.17K","-2.54%"
"05/01/2014","177.50","203.95","203.95","170.80","97.83K","-12.58%"
"04/01/2014","203.05","177.00","215.70","167.90","247.84K","14.14%"
"03/01/2014","177.90","180.55","207.55","166.00","127.02K","-1.06%"
"02/01/2014","179.80","125.00","180.35","125.00","367.29K","43.61%"
"01/01/2014","125.20","111.05","125.95","110.20","343.63K","13.10%"
"12/01/2013","110.70","109.80","118.40","105.50","55.18K","0.41%"
"11/01/2013","110.25","105.40","111.85","100.95","267.69K","4.60%"
"10/01/2013","105.40","113.90","117.95","105.25","258.92K","-7.30%"
"09/01/2013","113.70","113.00","119.20","111.10","85.19K","1.43%"
"08/01/2013","112.10","118.75","124.60","112.00","262.44K","-5.48%"
"07/01/2013","118.60","120.60","132.15","117.40","123.09K","-1.17%"
"06/01/2013","120.00","127.05","129.90","116.90","261.48K","-5.55%"
"05/01/2013","127.05","136.00","147.65","125.05","151.01K","-5.85%"
"04/01/2013","134.95","137.15","143.50","131.75","308.06K","-1.60%"
"03/01/2013","137.15","143.55","146.90","132.05","108.25K","-3.86%"
"02/01/2013","142.65","146.95","149.80","135.90","251.00K","-2.93%"
"01/01/2013","146.95","145.00","157.90","142.60","363.21K","2.19%"
"12/01/2012","143.80","140.10","149.25","136.60","60.77K","1.20%"
"11/01/2012","142.10","154.65","156.40","132.25","205.61K","-8.12%"
"10/01/2012","154.65","172.85","185.45","154.40","309.87K","-10.86%"
"09/01/2012","173.50","164.45","182.65","157.10","90.11K","5.44%"
"08/01/2012","164.55","174.65","177.85","157.40","180.40K","-5.65%"
"07/01/2012","174.40","172.80","190.85","172.50","97.78K","2.53%"
